sample_name,enzyme,created_at
4616STDY7535900,DLE-1,2018-11-08
4616STDY6965620,DLE-1,2018-11-14
5969STDY8354841,DLE-1,2018-12-05
5969STDY8354843,DLE-1,2018-12-18
2227STDY8166478,DLE-1,2019-01-10
4642STDY7515248,DLE-1,2019-01-18
25G257228308,DLE-1,2019-01-23
4616STDY7644356,DLE-1,2019-02-01
4642STDY7515249,DLE-1,2019-02-15
DTOLVGP7878650,DLE-1,2019-03-05
25G257155090 ,DLE-1,2019-03-12
4616STDY8166475,DLE-1,2019-03-15
25G258166476,DLE-1,2019-04-02
DTOLVGP7863261,DLE-1,2019-04-23
4616STDY8166473,Nb.BssSI,2019-05-15
DTOLVGP8034201,DLE-1,2019-05-02
BAdASS8166472,DLE-1,2019-06-12
25G257596281,DLE-1,2018-11-08
25G257228308,DLE-1,2018-11-14
5969STDY8354840,DLE-1,2018-11-28
5969STDY8354842,DLE-1,2018-12-05
5969STDY8354844,DLE-1,2018-12-18
4616STDY8166473,DLE-1,2019-04-23
4616STDY7697474,DLE-1,2019-02-01
4642STDY7515249,DLE-1,2019-02-15
4616STDY8166474,DLE-1,2019-04-23
4616STDY6965620,Nb.BssSI,2019-05-02
DTOLVGP8034201,Nt.BspQI,2019-05-15