chip_barcode,flowcell_1_sample_name,flowcell_1_enzyme,flowcell_2_sample_name,flowcell_2_enzyme,created_at
ABRTCLOLPTMWPNWU,4616STDY7535900,DLE-1,25G257596281,DLE-1,2018-11-08
DK5BGEOLPS5GPNWU,4616STDY6965620,DLE-1,25G257228308,DLE-1,2018-11-14
OIJLASOLPS2GPNWU,4616STDY6965620,DLE-1,5969STDY8354840,DLE-1,2018-11-28
ZWHFXUWLPQBWPNWU,5969STDY8354841,DLE-1,5969STDY8354842,DLE-1,2018-12-05
FUYHF6OLPQGGPNWU,5969STDY8354843,DLE-1,5969STDY8354844,DLE-1,2018-12-18
J3N2ZKGLPQHGPNWU,2227STDY8166478,DLE-1,4616STDY8166473,DLE-1,2019-01-10
CZYTVG6LPQEWPNWU,4642STDY7515248,DLE-1,4642STDY7515248,DLE-1,2019-01-18
7LZCQ3GLPQAGPNWU,25G257228308,DLE-1,4642STDY7515248,DLE-1,2019-01-23
RXOPLX6LPQJWPNWU,4616STDY7644356,DLE-1,4616STDY7697474,DLE-1,2019-02-01
IZFFB36LPQOGPNWU,4642STDY7515249,DLE-1,4642STDY7515249,DLE-1,2019-02-15
KHPZDTGLPQJGPNWU,DTOLVGP7878650,DLE-1,25G257155090 ,DLE-1,2019-03-05
BILGXJWLPQKGPNWU,25G257155090 ,DLE-1,4616STDY8166475,DLE-1,2019-03-12
ITDCQTGLPQLGPNWU,4616STDY8166475,DLE-1,DTOLVGP7878650,DLE-1,2019-03-15
76RNV46LPQRGBNWU,25G258166476,DLE-1,DTOLVGP7863261,DLE-1,2019-04-02
FKBUDBGLPTNH7NWU,25G258166476,DLE-1,DTOLVGP7863261,DLE-1,2019-04-08
BT2A6KOLPTMH7NWU,DTOLVGP7863261,DLE-1,DTOLVGP7863261,DLE-1,2019-04-15
4Z6VJGOLPQQWBNWU,4616STDY8166473,Nb.BssSI,4616STDY8166474,DLE-1,2019-04-23
BSM2NQ6LPQUGBNWU,DTOLVGP8034201,DLE-1,4616STDY6965620,Nb.BssSI,2019-05-02
GG3CCYWLPQXGBNWU,DTOLVGP8034201,DLE-1,4616STDY6965620,Nb.BssSI,2019-05-09
CVE3IKWLPQUWBNWU,4616STDY8166473,Nb.BssSI,DTOLVGP8034201,Nt.BspQI,2019-05-15
V5KYW6OLPQQGBNWU,BAdASS8166472,DLE-1,DTOLVGP8034201,DLE-1,2019-06-12